scenario_id,node,method,rank,score
auto_001,20,af3_min,90.5,2.0
auto_001,21,af3_min,34.0,8.0
auto_001,22,af3_min,86.0,3.0
auto_001,23,af3_min,78.0,4.0
auto_001,24,af3_min,15.5,11.0
auto_001,25,af3_min,46.0,7.0
auto_001,26,af3_min,56.0,6.0
auto_001,27,af3_min,95.5,1.0
auto_001,28,af3_min,15.5,11.0
auto_001,29,af3_min,34.0,8.0
auto_001,30,af3_min,66.0,5.0
auto_001,31,af3_min,78.0,4.0
auto_001,32,af3_min,34.0,8.0
auto_001,33,af3_min,78.0,4.0
auto_001,34,af3_min,66.0,5.0
auto_001,35,af3_min,34.0,8.0
auto_001,36,af3_min,34.0,8.0
auto_001,37,af3_min,56.0,6.0
auto_001,38,af3_min,56.0,6.0
auto_001,39,af3_min,34.0,8.0
auto_001,40,af3_min,99.5,-0.0
auto_001,41,af3_min,46.0,7.0
auto_001,42,af3_min,78.0,4.0
auto_001,43,af3_min,23.0,10.0
auto_001,44,af3_min,15.5,11.0
auto_001,45,af3_min,66.0,5.0
auto_001,46,af3_min,66.0,5.0
auto_001,47,af3_min,90.5,2.0
auto_001,48,af3_min,15.5,11.0
auto_001,49,af3_min,86.0,3.0
auto_001,50,af3_min,66.0,5.0
auto_001,51,af3_min,66.0,5.0
auto_001,52,af3_min,4.5,12.0
auto_001,53,af3_min,95.5,1.0
auto_001,54,af3_min,46.0,7.0
auto_001,55,af3_min,15.5,11.0
auto_001,56,af3_min,15.5,11.0
auto_001,57,af3_min,4.5,12.0
auto_001,58,af3_min,66.0,5.0
auto_001,59,af3_min,26.0,9.0
auto_001,60,af3_min,86.0,3.0
auto_001,61,af3_min,78.0,4.0
auto_001,62,af3_min,15.5,11.0
auto_001,63,af3_min,15.5,11.0
auto_001,64,af3_min,86.0,3.0
auto_001,65,af3_min,4.5,12.0
auto_001,66,af3_min,66.0,5.0
auto_001,67,af3_min,46.0,7.0
auto_001,68,af3_min,66.0,5.0
auto_001,69,af3_min,56.0,6.0
auto_001,70,af3_min,78.0,4.0
auto_001,71,af3_min,15.5,11.0
auto_001,72,af3_min,78.0,4.0
auto_001,73,af3_min,95.5,1.0
auto_001,74,af3_min,4.5,12.0
auto_001,75,af3_min,4.5,12.0
auto_001,76,af3_min,86.0,3.0
auto_001,77,af3_min,46.0,7.0
auto_001,78,af3_min,90.5,2.0
auto_001,79,af3_min,34.0,8.0
auto_001,80,af3_min,26.0,9.0
auto_001,81,af3_min,34.0,8.0
auto_001,82,af3_min,15.5,11.0
auto_001,83,af3_min,46.0,7.0
auto_001,84,af3_min,4.5,12.0
auto_001,85,af3_min,15.5,11.0
auto_001,86,af3_min,15.5,11.0
auto_001,87,af3_min,4.5,12.0
auto_001,88,af3_min,26.0,9.0
auto_001,89,af3_min,46.0,7.0
auto_001,90,af3_min,99.5,-0.0
auto_001,91,af3_min,34.0,8.0
auto_001,92,af3_min,46.0,7.0
auto_001,93,af3_min,26.0,9.0
auto_001,94,af3_min,56.0,6.0
auto_001,95,af3_min,15.5,11.0
auto_001,96,af3_min,15.5,11.0
auto_001,97,af3_min,46.0,7.0
auto_001,98,af3_min,4.5,12.0
auto_001,99,af3_min,56.0,6.0
auto_001,0,af3_normalized,95.0,0.07692307692307693
auto_001,1,af3_normalized,52.0,0.4
auto_001,2,af3_normalized,67.0,0.35714285714285715
auto_001,3,af3_normalized,52.0,0.4
auto_001,4,af3_normalized,15.0,0.5384615384615384
auto_001,5,af3_normalized,15.0,0.5384615384615384
auto_001,6,af3_normalized,71.0,0.3333333333333333
auto_001,7,af3_normalized,97.0,0.0625
auto_001,8,af3_normalized,26.0,0.47058823529411764
auto_001,9,af3_normalized,75.5,0.29411764705882354
auto_001,10,af3_normalized,52.0,0.4
auto_001,11,af3_normalized,97.0,0.0625
auto_001,12,af3_normalized,52.0,0.4
auto_001,13,af3_normalized,52.0,0.4
auto_001,14,af3_normalized,18.0,0.5
auto_001,15,af3_normalized,64.0,0.3684210526315789
auto_001,16,af3_normalized,87.0,0.18181818181818182
auto_001,17,af3_normalized,36.0,0.4375
auto_001,18,af3_normalized,67.0,0.35714285714285715
auto_001,19,af3_normalized,67.0,0.35714285714285715
auto_001,20,af3_normalized,91.5,0.14285714285714285
auto_001,21,af3_normalized,26.0,0.47058823529411764
